"Date","Video Views","Profile Views","Likes","Comments","Shares"
"24 de diciembre","61","2","0","0","0"
"25 de diciembre","10","2","0","0","0"
"26 de diciembre","39","2","4","0","0"
"27 de diciembre","11","2","1","1","1"
"28 de diciembre","20","3","0","0","0"
"29 de diciembre","51","3","0","0","0"
"30 de diciembre","38","2","1","0","0"
"31 de diciembre","14","0","0","0","0"
"1 de enero","6","1","1","0","0"
"2 de enero","110","3","7","0","1"
"3 de enero","107","5","3","0","0"
"4 de enero","47","3","1","0","0"
"5 de enero","18","2","1","0","0"
"6 de enero","27","4","2","0","0"
"7 de enero","58","4","1","0","0"
"8 de enero","44","1","0","0","0"
"9 de enero","98","3","1","1","1"
"10 de enero","14","3","0","0","0"
"11 de enero","8","2","0","0","0"
"12 de enero","73","0","3","0","0"
"13 de enero","580","6","10","0","0"
"14 de enero","43","1","0","0","0"
"15 de enero","618","11","16","3","0"
"16 de enero","143","4","6","0","0"
"17 de enero","64","2","2","0","0"
"18 de enero","88","7","1","0","0"
"19 de enero","59","4","2","0","0"
"20 de enero","98","5","0","0","1"
"21 de enero","86","5","1","0","1"
"22 de enero","55","4","1","0","0"
"23 de enero","64","5","2","0","2"
"24 de enero","107","3","7","0","1"
"25 de enero","154","5","4","0","0"
"26 de enero","107","1","2","0","0"
"27 de enero","84","0","0","0","1"
"28 de enero","103","1","0","0","1"
"29 de enero","61","2","0","0","0"
"30 de enero","53","2","0","0","0"
"31 de enero","29","1","0","0","0"
"1 de febrero","32","0","0","0","0"
"2 de febrero","89","9","0","0","1"
"3 de febrero","560","5","18","0","0"
"4 de febrero","440","13","25","1","4"
"5 de febrero","106","3","2","0","0"
"6 de febrero","142","4","5","1","0"
"7 de febrero","84","1","1","0","0"
"8 de febrero","85","3","2","0","2"
"9 de febrero","440","7","11","0","0"
"10 de febrero","279","6","7","0","4"
"11 de febrero","206","7","1","1","0"
"12 de febrero","58","0","0","0","0"
"13 de febrero","149","2","10","0","0"
"14 de febrero","774","12","12","1","8"
"15 de febrero","118","4","3","0","1"
"16 de febrero","149","1","1","0","1"
"17 de febrero","128","4","0","0","0"
"18 de febrero","102","5","2","0","1"
"19 de febrero","91","3","0","0","1"
"20 de febrero","76","4","2","0","0"
"21 de febrero","240","6","2","0","0"
"22 de febrero","168","2","2","0","0"
"23 de febrero","355","20","5","0","1"
"24 de febrero","165","6","1","0","0"
"25 de febrero","59","4","2","0","1"
"26 de febrero","156","13","3","0","0"
"27 de febrero","61","4","0","0","0"
"28 de febrero","47","1","1","0","0"
"1 de marzo","154","5","3","0","0"
"2 de marzo","53","5","1","0","1"
"3 de marzo","121","5","2","0","0"
"4 de marzo","50","1","2","0","2"
"5 de marzo","454","11","10","0","2"
"6 de marzo","853","10","26","0","1"
"7 de marzo","258","4","10","0","0"
"8 de marzo","782","12","10","1","0"
"9 de marzo","216","6","5","0","1"
"10 de marzo","155","6","0","0","0"
"11 de marzo","624","7","14","1","5"
"12 de marzo","165","8","4","0","1"
"13 de marzo","55","2","2","0","0"
"14 de marzo","55","1","1","0","0"
"15 de marzo","77","2","3","0","0"
"16 de marzo","92","4","0","0","0"
"17 de marzo","682","11","16","1","0"
"18 de marzo","192","10","11","0","1"
"19 de marzo","65","4","1","0","0"
"20 de marzo","86","5","2","0","0"
"21 de marzo","101","6","4","0","1"
"22 de marzo","212","6","5","0","0"
"23 de marzo","113","10","4","0","0"
"24 de marzo","96","3","1","0","0"
"25 de marzo","109","4","6","0","0"
"26 de marzo","77","6","1","0","0"
"27 de marzo","119","2","3","0","1"
"28 de marzo","42","0","4","0","0"
"29 de marzo","57","1","1","0","0"
"30 de marzo","56","3","2","0","0"
"31 de marzo","80","3","2","0","2"
"1 de abril","554","2","12","0","1"
"2 de abril","104","3","6","0","0"
"3 de abril","188","4","3","0","0"
"4 de abril","95","7","0","0","1"
"5 de abril","62","3","0","0","0"
"6 de abril","587","4","6","1","1"
"7 de abril","296","7","6","1","0"
"8 de abril","113","4","4","0","0"
"9 de abril","1048","12","14","1","0"
"10 de abril","306","5","5","-1","0"
"11 de abril","71","2","2","0","0"
"12 de abril","62","3","3","0","1"
"13 de abril","110","4","1","0","1"
"14 de abril","78","1","1","0","0"
"15 de abril","109","5","1","0","0"
"16 de abril","86","4","1","0","1"
"17 de abril","134","7","3","0","2"
"18 de abril","34","1","0","0","0"
"19 de abril","37","2","0","0","0"
"20 de abril","36","1","0","0","0"
"21 de abril","74","1","0","0","0"
"22 de abril","116","1","1","0","0"
"23 de abril","623","6","14","0","0"
"24 de abril","420","5","8","0","0"
"25 de abril","87","3","0","0","0"
"26 de abril","45","3","0","0","0"
"27 de abril","90","2","1","0","1"
"28 de abril","49","3","0","0","0"
"29 de abril","103","6","0","0","0"
"30 de abril","81","4","5","0","0"
